peakid,nb_members,death_rate,success_rate,pkname,heightm,latitude,longitude
ACHN,106,0,0.08490566038,Aichyn,6055,,
AMAD,73434,0.0003132064166,0.05395320968,Ama Dablam,6814,27.86111111,86.86111111
AMOT,26,0,0.03846153846,Amotsang,6393,,
AMPG,13,0,0.1538461538,Amphu Gyabjen,5630,,
AMPH,25,0,0.12,Amphu I,6740,,
ANID,34,0,0,Anidesh Chuli,6808,,
ANN1,9367,0.004270310665,0.02775701932,Annapurna I,8091,28.59611111,83.82027778
ANN2,135,0,0.007407407407,Annapurna II,7937,,
ANN3,135,0,0.04444444444,Annapurna III,7555,,
ANN4,1737,0.0005757052389,0.007484168106,Annapurna IV,7525,28.5375,84.08277778
ANNE,22,0,0.3636363636,Annapurna I East,8026,,
ANNM,14,0,0.2142857143,Annapurna I Middle,8051,,
ANNS,114,0,0.02631578947,Annapurna South,7219,,
APIM,116,0,0.06896551724,Api Main,7132,,
ARNK,136,0,0.1544117647,Arniko Chuli,6034,,
BAMO,24,0,0.08333333333,Bamongo,6400,,
BARU,9473,0.0003166895387,0.03188008023,Baruntse,7152,27.87166667,86.98
BEDG,49,0,0.08163265306,Beding Go,6125,,
BHEM,17,0,0,Bhemdang Ri,6150,,
BHRI,174,0,0.04022988506,Bhrikuti,6476,,
BHRS,466,0,0.08798283262,Bhrikuti Shail,6361,,
BIJO,49,0,0,Bijora Hiunchuli,6111,,
BURK,56,0,0.01785714286,Burke Kang,6942,,
CBAM,72,0,0.02777777778,Chhopa Bamare,6109,,
CHAK,149,0.006711409396,0.04026845638,Chako,6704,,
CHAM,185,0.01081081081,0.03783783784,Chamlang,7321,,
CHAN,25,0,0.16,Changla,6563,,
CHAW,25,0,0,Chaw Peak,6404,,
CHIV,25,0,0.16,Chhiv Himal,6650,,
CHND,79,0,0.01265822785,Chandi Himal,6142,,
CHOB,30,0,0.2333333333,Chobuje,6686,,
CHOP,14,0,0.2857142857,Cho Polu,6700,,
CHOY,32870,0.0004867660481,0.0526924247,Cho Oyu,8188,28.09416667,86.66083333
CHRW,36,0,0.08333333333,Churen Himal West,7371,,
CHUG,53,0,0.2075471698,Chukyima Go,6258,,
CHUM,80,0,0.05,Chumbu,6859,,
CHUR,36,0,0,Churen Himal Central,7385,,
CHWT,137,0,0.06569343066,Changwathang,6130,,
DANG,16,0,0.1875,Danga,6355,,
DANS,151,0,0.04635761589,Danphe Shail,6103,,
